Index - Plot 0;Deflection - Plot 0
-1;-15.87mV
-1;-13.43mV
-1;-13.73mV
-1;-15.26mV
-1;-14.95mV
-1;-16.17mV
-1;-15.56mV
-1;-14.34mV
-1;-14.04mV
-1;-14.34mV
-1;-12.51mV
-1;-12.51mV
-1;-13.73mV
-1;-16.48mV
-1;-14.95mV
-1;-13.73mV
-1;-15.26mV
-1;-14.04mV
-1;-14.34mV
-1;-14.34mV
-1;-11.90mV
-1;-16.17mV
-1;-13.73mV
-1;-15.26mV
-1;-11.60mV
-1;-12.82mV
-1;-12.82mV
-1;-13.73mV
-1;-13.12mV
-1;-13.73mV
-1;-12.21mV
-1;-14.65mV
-1;-12.21mV
-1;-12.51mV
-1;-14.95mV
-1;-14.04mV
-1;-12.51mV
-1;-14.34mV
-1;-12.82mV
-1;-13.43mV
-1;-14.65mV
-1;-12.51mV
-1;-14.65mV
-1;-13.12mV
-1;-13.43mV
-1;-14.95mV
-1;-11.90mV
-1;-12.21mV
-1;-14.04mV
-1;-12.51mV
-1;-12.82mV
-1;-13.73mV
-1;-13.43mV
-1;-12.21mV
-1;-12.51mV
-1;-14.04mV
-1;-12.82mV
-1;-12.21mV
-1;-13.12mV
-1;-12.51mV
-1;-11.29mV
-1;-12.21mV
-1;-11.90mV
-1;-9.155mV
-1;-11.60mV
-1;-11.29mV
-1;-11.29mV
-1;-14.34mV
-1;-13.12mV
-1;-11.60mV
-1;-12.21mV
-1;-11.60mV
-1;-12.51mV
-1;-10.99mV
-1;-10.38mV
-1;-11.90mV
-1;-10.99mV
-1;-10.38mV
-1;-13.73mV
-1;-11.60mV
-1;-11.29mV
-1;-11.90mV
-1;-11.90mV
-1;-12.51mV
-1;-10.38mV
-1;-13.12mV
-1;-11.90mV
-1;-11.60mV
-1;-12.51mV
-1;-13.73mV
-1;-12.82mV
-1;-12.51mV
-1;-10.68mV
-1;-11.29mV
0;-10.38mV
0;-11.29mV
0;-10.07mV
0;-10.68mV
0;-10.38mV
0;-10.68mV
0;-10.68mV
0;-10.07mV
0;-10.38mV
0;-10.99mV
0;-10.38mV
0;-9.155mV
0;-10.38mV
0;-9.460mV
0;-8.240mV
0;-8.850mV
0;-10.07mV
0;-8.850mV
0;-8.545mV
0;-8.545mV
0;-8.240mV
0;-8.240mV
0;-10.99mV
0;-8.545mV
0;-8.240mV
0;-8.545mV
0;-6.409mV
0;-10.07mV
0;-8.240mV
0;-7.324mV
0;-8.545mV
0;-7.019mV
0;-8.240mV
0;-8.850mV
0;-7.324mV
0;-7.324mV
0;-5.188mV
0;-5.798mV
0;-5.798mV
0;-7.019mV
0;-4.578mV
0;-4.883mV
0;-6.409mV
0;-3.357mV
0;-4.578mV
