Index - Plot 0;Deflection - Plot 0
0;-12.82mV
1;-12.51mV
2;-11.29mV
3;-10.68mV
4;-10.68mV
5;-14.34mV
6;-11.60mV
7;-11.60mV
8;-12.51mV
9;-12.21mV
10;-13.73mV
11;-10.99mV
12;-9.766mV
13;-12.21mV
14;-11.90mV
15;-12.51mV
16;-10.38mV
17;-11.90mV
18;-11.60mV
19;-10.99mV
20;-11.60mV
21;-11.29mV
22;-11.60mV
23;-11.60mV
24;-9.766mV
25;-10.99mV
26;-10.99mV
27;-12.21mV
28;-10.99mV
29;-13.12mV
30;-12.51mV
31;-11.29mV
32;-11.90mV
33;-11.29mV
34;-10.38mV
35;-10.38mV
36;-10.99mV
37;-11.29mV
38;-13.43mV
39;-13.12mV
40;-11.60mV
41;-11.29mV
42;-13.12mV
43;-11.90mV
44;-10.38mV
45;-10.38mV
46;-12.51mV
47;-10.07mV
48;-11.90mV
49;-10.07mV
50;-10.38mV
51;-7.935mV
52;-10.07mV
53;-9.460mV
54;-10.38mV
55;-12.51mV
56;-12.21mV
57;-10.99mV
58;-11.90mV
59;-11.29mV
60;-10.99mV
61;-10.07mV
62;-13.12mV
63;-11.60mV
64;-9.155mV
65;-12.51mV
66;-11.60mV
67;-12.82mV
68;-10.99mV
69;-13.12mV
70;-11.29mV
71;-10.68mV
72;-11.29mV
73;-10.07mV
74;-10.68mV
75;-12.21mV
76;-10.68mV
77;-10.07mV
78;-10.38mV
79;-11.29mV
80;-9.766mV
81;-9.155mV
82;-8.850mV
83;-10.07mV
84;-7.935mV
85;-6.714mV
86;-7.935mV
87;-7.629mV
88;-8.850mV
89;-7.935mV
90;-8.850mV
91;-10.07mV
92;-10.07mV
93;-11.60mV
94;-8.240mV
95;-8.545mV
96;-8.850mV
97;-9.155mV
98;-7.324mV
99;-7.324mV
100;-7.935mV
101;-9.460mV
102;-10.38mV
103;-10.99mV
104;-10.38mV
105;-8.240mV
106;-12.21mV
107;-8.240mV
108;-8.545mV
109;-7.935mV
110;-8.545mV
111;-10.07mV
112;-9.460mV
113;-10.38mV
114;-8.545mV
115;-9.155mV
116;-6.104mV
117;-7.629mV
118;-7.935mV
119;-7.935mV
120;-7.019mV
121;-6.714mV
122;-6.409mV
123;-6.714mV
124;-5.188mV
125;-6.409mV
126;-4.883mV
127;-5.188mV
128;-6.409mV
129;-6.409mV
130;-4.883mV
131;-5.493mV
132;-5.188mV
133;-4.883mV
134;-6.104mV
135;-5.188mV
136;-3.967mV
137;-6.714mV
138;-5.493mV
139;-5.493mV
140;-5.493mV
141;-4.883mV
142;-1.831mV
143;-2.441mV
144;-3.052mV
145;-3.052mV
146;-915.5uV
147;-2.747mV
148;-3.662mV
149;-2.747mV
