Index,Deflection_nm,Excitation
0,-0.01648,-99.80086889920543
1,-0.01495,-99.87225134159041
2,-0.015560000000000001,-99.92786279773269
3,-0.01495,-99.96769448593868
4,-0.01526,-99.99174011632304
5,-0.01648,-99.99999589180204
6,-0.01709,-99.99246050869299
7,-0.0174,-99.96913515692022
8,-0.01434,-99.9300235198272
9,-0.01709,-99.87513177359483
10,-0.01709,-99.80446858626615
11,-0.01434,-99.71804511637758
12,-0.01434,-99.61587501119689
13,-0.01526,-99.49797440456808
14,-0.01495,-99.36436191436367
15,-0.015560000000000001,-99.21505863954476
16,-0.01465,-99.05008815682922
17,-0.01343,-98.86947651696867
18,-0.014039999999999999,-98.67325224063475
19,-0.014039999999999999,-98.46144631391542
20,-0.01495,-98.23409218342182
21,-0.01343,-97.99122575100672
22,-0.014039999999999999,-97.73288536809524
23,-0.01648,-97.45911182962857
24,-0.015560000000000001,-97.16994836762214
25,-0.015560000000000001,-96.86544064433868
26,-0.013730000000000001,-96.54563674507767
27,-0.01526,-96.21058717058209
28,-0.01465,-95.86034482906376
29,-0.013730000000000001,-95.49496502784855
30,-0.01648,-95.11450546464269
31,-0.014039999999999999,-94.71902621842165
32,-0.01282,-94.30858973994292
33,-0.014039999999999999,-93.8832608418844
34,-0.01617,-93.44310668860966
35,-0.01648,-92.98819678556194
36,-0.01587,-92.51860296828839
37,-0.01465,-92.03439939109649
38,-0.01617,-91.53566251534413
39,-0.01678,-91.02247109736552
40,-0.01526,-90.49490617603469
41,-0.01495,-89.95305105996843
42,-0.01617,-89.39699131437095
43,-0.01678,-88.82681474752215
44,-0.01526,-88.24261139691158
45,-0.01678,-87.64447351502065
46,-0.01587,-87.03249555475473
47,-0.01617,-86.40677415452802
48,-0.01465,-85.7674081230032
49,-0.01709,-85.11449842348843
50,-0.01526,-84.44814815799401
51,-0.015560000000000001,-83.76846255095147
52,-0.019530000000000002,-83.07554893259731
53,-0.01648,-82.36951672202436
54,-0.0174,-81.65047740990327
55,-0.01587,-80.91854454087682
56,-0.01862,-80.17383369562982
57,-0.0174,-79.41646247263773
58,-0.01495,-78.64655046959635
59,-0.01923,-77.8642192645361
60,-0.0174,-77.06959239662332
61,-0.01984,-76.26279534665204
62,-0.0177,-75.44395551722917
63,-0.0177,-74.61320221265603
64,-0.01862,-73.77066661850985
65,-0.01862,-72.91648178092791
66,-0.01831,-72.05078258559809
