Index - Plot 0;Deflection - Plot 0
-1;8.850mV
-1;9.155mV
-1;9.460mV
-1;10.68mV
-1;11.60mV
-1;9.766mV
-1;10.99mV
-1;10.07mV
-1;9.460mV
-1;9.155mV
-1;10.99mV
-1;10.99mV
-1;10.07mV
-1;12.82mV
-1;12.51mV
-1;11.90mV
-1;10.38mV
-1;12.21mV
-1;12.51mV
-1;9.766mV
-1;12.82mV
-1;13.73mV
-1;13.43mV
-1;13.43mV
-1;13.12mV
-1;10.07mV
-1;11.90mV
-1;12.21mV
-1;14.04mV
-1;10.38mV
-1;13.43mV
-1;13.43mV
-1;12.21mV
-1;12.82mV
-1;8.850mV
-1;9.460mV
-1;10.38mV
-1;12.51mV
-1;11.60mV
-1;9.766mV
-1;12.51mV
-1;11.29mV
-1;11.90mV
-1;9.155mV
-1;9.766mV
-1;10.99mV
-1;10.68mV
-1;10.38mV
-1;12.21mV
-1;10.38mV
-1;10.99mV
-1;11.60mV
-1;10.68mV
-1;11.90mV
-1;8.850mV
-1;9.155mV
-1;8.545mV
-1;9.766mV
-1;9.460mV
-1;10.99mV
-1;9.766mV
-1;8.850mV
-1;8.545mV
-1;10.07mV
-1;10.07mV
-1;8.850mV
-1;9.766mV
-1;7.935mV
-1;9.460mV
-1;7.629mV
-1;7.935mV
-1;8.545mV
-1;8.545mV
-1;8.240mV
-1;9.155mV
-1;6.714mV
-1;6.409mV
-1;8.240mV
-1;5.798mV
-1;7.324mV
-1;7.019mV
-1;5.493mV
-1;4.272mV
-1;5.493mV
-1;6.714mV
-1;3.662mV
-1;5.798mV
-1;4.272mV
-1;3.052mV
-1;4.578mV
-1;2.747mV
-1;2.441mV
-1;5.188mV
-1;3.967mV
0;3.357mV
0;3.052mV
0;610.4uV
0;3.357mV
0;2.441mV
0;0.000V
0;-1.526mV
0;610.4uV
0;-915.5uV
0;-1.221mV
0;-610.4uV
0;-305.2uV
0;0.000V
0;-610.4uV
0;-1.831mV
0;-915.5uV
0;-2.136mV
0;610.4uV
0;-2.136mV
0;-3.357mV
0;-2.747mV
0;-3.052mV
0;-4.578mV
0;-4.883mV
0;-3.662mV
0;-3.357mV
0;-3.967mV
0;-4.578mV
0;-4.883mV
0;-3.052mV
0;-6.104mV
0;-6.409mV
0;-6.104mV
0;-6.409mV
0;-5.188mV
0;-6.409mV
0;-5.798mV
0;-7.629mV
0;-7.935mV
0;-8.240mV
0;-6.409mV
0;-8.240mV
0;-7.019mV
0;-6.714mV
0;-8.850mV
0;-9.766mV
0;-10.68mV
0;-8.545mV
0;-8.545mV
0;-7.935mV
0;-9.460mV
0;-9.155mV
0;-9.460mV
0;-9.155mV
0;-10.68mV
0;-11.60mV
0;-12.21mV
0;-10.68mV
0;-10.68mV
0;-11.29mV
0;-14.04mV
0;-12.82mV
0;-11.60mV
0;-10.07mV
0;-12.21mV
0;-11.60mV
0;-12.51mV
0;-13.12mV
0;-10.99mV
0;-12.21mV
0;-11.90mV
0;-12.82mV
0;-11.29mV
0;-10.38mV
0;-10.68mV
0;-9.460mV
0;-9.460mV
0;-10.99mV
0;-12.21mV
0;-10.68mV
0;-10.99mV
0;-11.90mV
0;-9.766mV
1;-11.29mV
1;-9.766mV
1;-7.935mV
1;-8.545mV
1;-9.155mV
1;-9.766mV
1;-8.545mV
1;-8.545mV
1;-9.155mV
1;-7.324mV
1;-7.935mV
1;-6.714mV
1;-7.324mV
1;-7.324mV
1;-4.272mV
1;-3.357mV
1;-915.5uV
1;-4.272mV
1;-305.2uV
1;0.000V
1;1.221mV
1;3.662mV
1;5.188mV
1;5.188mV
1;8.850mV
1;10.99mV
1;12.21mV
1;14.34mV
1;15.56mV
1;15.56mV
1;22.89mV
1;25.33mV
1;25.33mV
1;28.08mV
1;31.13mV
1;32.04mV
1;37.23mV
1;39.37mV
1;43.33mV
1;45.17mV
1;49.13mV
1;53.71mV
1;55.24mV
1;58.90mV
1;62.87mV
1;63.48mV
1;70.50mV
1;71.72mV
1;75.99mV
1;78.74mV
1;82.09mV
1;88.50mV
1;89.11mV
1;93.69mV
1;96.44mV
1;100.4mV
1;99.79mV
1;101.3mV
1;106.5mV
1;110.5mV
1;114.1mV
1;116.0mV
1;118.7mV
1;118.1mV
1;120.2mV
1;124.2mV
1;125.1mV
1;129.1mV
1;129.1mV
1;132.1mV
1;133.7mV
1;133.4mV
1;135.5mV
1;137.6mV
1;138.2mV
1;143.1mV
1;141.0mV
1;142.8mV
1;145.3mV
1;143.4mV
1;145.9mV
1;146.5mV
1;145.3mV
1;145.3mV
1;144.0mV
1;145.0mV
1;145.6mV
1;147.7mV
1;144.3mV
1;145.0mV
1;145.0mV
1;142.8mV
1;142.2mV
1;142.2mV
1;137.3mV
1;136.1mV
1;138.2mV
1;135.5mV
1;134.6mV
1;133.1mV
1;131.2mV
1;129.4mV
1;125.4mV
1;123.9mV
1;120.2mV
1;116.0mV
1;113.8mV
1;111.4mV
1;107.7mV
1;104.4mV
1;99.79mV
1;98.27mV
1;92.77mV
1;88.50mV
1;85.14mV
1;79.96mV
1;77.51mV
1;71.11mV
1;66.53mV
1;63.78mV
1;58.29mV
1;56.46mV
1;49.13mV
1;44.86mV
1;38.76mV
1;35.10mV
1;28.08mV
1;23.50mV
1;18.92mV
1;12.82mV
1;7.019mV
1;3.662mV
1;-610.4uV
1;-8.240mV
1;-11.29mV
1;-16.17mV
1;-21.36mV
1;-26.55mV
1;-32.96mV
1;-36.32mV
1;-41.20mV
1;-46.39mV
1;-51.57mV
1;-54.02mV
1;-61.95mV
1;-62.56mV
1;-66.53mV
1;-72.02mV
1;-72.33mV
1;-78.43mV
1;-81.79mV
1;-84.53mV
1;-88.81mV
1;-90.94mV
1;-90.03mV
1;-92.16mV
1;-90.94mV
1;-94.91mV
1;-95.21mV
1;-94.30mV
1;-94.30mV
1;-92.77mV
1;-91.55mV
1;-90.03mV
1;-86.06mV
1;-81.48mV
1;-80.26mV
0;-74.77mV
0;-69.89mV
0;-66.53mV
0;-64.39mV
0;-59.81mV
0;-56.15mV
