Index - Plot 0;Deflection - Plot 0
0;-1.526mV
1;-2.441mV
2;-1.221mV
3;1.526mV
4;610.4uV
5;305.2uV
6;2.136mV
7;-1.526mV
8;610.4uV
9;0.000V
10;-305.2uV
11;-1.221mV
12;-915.5uV
13;0.000V
14;-915.5uV
15;-610.4uV
16;-1.831mV
17;-610.4uV
18;-1.526mV
19;-1.221mV
20;-915.5uV
21;610.4uV
22;-915.5uV
23;0.000V
24;-2.747mV
25;-2.441mV
26;-1.831mV
27;-305.2uV
28;-1.831mV
29;305.2uV
30;-610.4uV
31;-1.221mV
32;-305.2uV
33;-1.831mV
34;305.2uV
35;610.4uV
36;610.4uV
37;-610.4uV
38;-1.526mV
39;-305.2uV
40;-1.221mV
41;-915.5uV
42;915.5uV
43;305.2uV
44;-2.136mV
45;0.000V
46;-1.526mV
47;610.4uV
48;0.000V
49;610.4uV
50;-610.4uV
51;915.5uV
52;-915.5uV
53;-915.5uV
54;-1.221mV
55;-1.221mV
56;-915.5uV
57;-2.136mV
58;-1.831mV
59;-1.221mV
60;-2.747mV
61;-2.747mV
62;-2.441mV
63;-2.747mV
64;0.000V
65;-1.221mV
66;-1.831mV
67;-2.747mV
68;-3.662mV
69;-1.221mV
70;-1.831mV
71;-1.221mV
72;305.2uV
73;-610.4uV
74;-610.4uV
75;-1.831mV
76;-1.526mV
77;-1.831mV
78;-2.441mV
79;-1.221mV
80;-2.136mV
81;-610.4uV
82;-1.526mV
83;-3.967mV
84;-1.221mV
85;-1.221mV
86;-1.221mV
87;-3.662mV
88;-2.441mV
89;-1.831mV
90;-4.272mV
91;-2.747mV
92;-3.052mV
93;-3.357mV
94;-3.357mV
95;0.000V
96;-610.4uV
97;-3.357mV
98;-2.747mV
99;-3.357mV
100;-3.052mV
101;-3.357mV
102;-4.272mV
103;-915.5uV
104;-610.4uV
105;0.000V
106;-915.5uV
107;-3.967mV
108;-2.747mV
109;-2.747mV
110;-1.831mV
111;-3.052mV
112;-2.747mV
113;-3.052mV
114;-3.357mV
115;-4.578mV
116;-4.272mV
117;-3.357mV
118;-4.272mV
119;-3.967mV
120;-3.662mV
121;-3.052mV
122;-2.136mV
123;-3.052mV
124;-2.441mV
125;-3.662mV
126;-2.441mV
127;-3.967mV
128;-4.883mV
129;-4.272mV
130;-3.357mV
131;-6.104mV
132;-3.357mV
133;-3.662mV
134;-3.662mV
135;-2.747mV
136;-4.272mV
137;-3.357mV
138;-2.441mV
139;-610.4uV
140;-2.747mV
141;-915.5uV
142;-3.967mV
143;-2.441mV
144;-3.662mV
145;-2.136mV
146;-2.747mV
147;-3.967mV
148;-1.831mV
149;-915.5uV
150;-305.2uV
151;-4.578mV
152;-2.747mV
153;-2.136mV
154;-1.526mV
155;-3.052mV
156;-1.221mV
157;-3.357mV
158;-610.4uV
159;-1.221mV
160;-915.5uV
161;-610.4uV
162;305.2uV
163;915.5uV
164;-2.441mV
165;-610.4uV
166;0.000V
167;610.4uV
168;305.2uV
169;1.221mV
170;610.4uV
171;1.526mV
172;915.5uV
173;2.136mV
174;3.967mV
175;2.441mV
176;2.747mV
177;2.747mV
178;3.662mV
179;3.357mV
180;3.662mV
181;4.578mV
182;4.883mV
183;4.883mV
184;7.019mV
185;7.019mV
186;6.104mV
187;7.935mV
188;8.545mV
189;7.629mV
190;8.545mV
191;10.68mV
192;11.90mV
193;11.29mV
194;13.12mV
195;14.95mV
196;15.56mV
197;16.17mV
198;17.70mV
199;19.84mV
200;21.97mV
201;21.36mV
202;21.67mV
203;24.41mV
204;26.86mV
205;28.38mV
206;31.43mV
207;32.04mV
208;32.04mV
209;35.71mV
210;38.15mV
211;42.42mV
212;44.56mV
213;45.47mV
214;47.00mV
215;52.49mV
216;52.49mV
217;55.85mV
218;59.51mV
219;61.95mV
220;65.00mV
221;68.97mV
222;71.41mV
223;73.85mV
224;77.51mV
225;79.04mV
226;83.92mV
227;86.36mV
228;88.20mV
229;91.25mV
230;93.69mV
231;95.52mV
232;101.0mV
233;102.8mV
234;104.4mV
235;107.1mV
236;110.5mV
237;113.2mV
238;115.4mV
239;118.4mV
240;121.2mV
241;123.9mV
242;125.7mV
243;125.4mV
244;130.3mV
245;130.6mV
246;131.8mV
247;133.1mV
248;135.2mV
249;135.8mV
250;138.2mV
251;138.2mV
252;139.8mV
253;141.9mV
254;142.8mV
255;145.3mV
256;145.3mV
257;145.3mV
258;144.3mV
259;145.0mV
260;145.9mV
261;145.3mV
262;144.7mV
263;142.5mV
264;146.2mV
265;144.3mV
266;145.6mV
267;143.4mV
268;140.1mV
269;138.2mV
270;141.6mV
271;138.2mV
272;136.4mV
273;136.7mV
274;130.9mV
275;130.9mV
276;127.3mV
277;125.1mV
278;123.3mV
279;122.7mV
280;118.4mV
281;116.9mV
282;113.2mV
283;109.9mV
284;108.6mV
285;102.5mV
286;100.4mV
287;95.21mV
288;93.99mV
289;90.33mV
290;86.06mV
291;83.01mV
292;76.60mV
293;72.94mV
294;69.27mV
295;65.31mV
296;59.51mV
297;55.24mV
298;51.88mV
299;48.22mV
300;41.81mV
301;35.40mV
302;32.65mV
303;27.16mV
304;21.06mV
305;16.78mV
306;13.73mV
307;7.629mV
308;2.747mV
309;-2.136mV
310;-7.935mV
311;-10.99mV
312;-17.09mV
313;-21.06mV
314;-25.94mV
315;-32.35mV
316;-37.23mV
317;-39.98mV
318;-45.78mV
319;-47.91mV
320;-53.41mV
321;-56.76mV
322;-61.04mV
323;-63.17mV
324;-66.83mV
325;-72.02mV
326;-72.94mV
327;-76.29mV
328;-79.35mV
329;-80.57mV
330;-81.79mV
331;-82.09mV
332;-82.09mV
333;-80.87mV
334;-81.18mV
335;-80.57mV
336;-77.51mV
337;-73.85mV
338;-69.58mV
339;-66.53mV
340;-62.26mV
341;-57.68mV
342;-53.10mV
343;-50.35mV
344;-45.78mV
345;-42.42mV
346;-42.72mV
347;-41.20mV
348;-36.62mV
349;-36.93mV
350;-33.26mV
351;-32.35mV
352;-30.82mV
353;-31.13mV
354;-30.82mV
355;-29.91mV
356;-29.60mV
357;-29.30mV
358;-28.38mV
359;-25.02mV
360;-25.94mV
361;-24.41mV
362;-25.02mV
363;-24.41mV
364;-24.41mV
365;-24.11mV
366;-23.50mV
367;-23.80mV
368;-22.89mV
369;-21.06mV
370;-20.45mV
371;-21.06mV
372;-21.67mV
373;-18.62mV
374;-19.84mV
375;-21.36mV
376;-20.14mV
377;-19.23mV
378;-18.92mV
379;-21.67mV
380;-18.01mV
381;-19.84mV
382;-19.84mV
383;-17.09mV
384;-20.45mV
385;-18.01mV
386;-18.01mV
387;-16.48mV
388;-18.92mV
389;-17.40mV
390;-15.26mV
391;-18.62mV
392;-14.95mV
393;-16.17mV
394;-15.56mV
395;-16.17mV
396;-15.87mV
397;-15.26mV
398;-13.43mV
399;-13.73mV
400;-13.43mV
