Index - Plot 0;Deflection - Plot 0
-1;-2.136mV
-1;-4.272mV
-1;-1.221mV
-1;-1.221mV
-1;-2.441mV
-1;-2.747mV
-1;-1.831mV
-1;-1.831mV
-1;-2.441mV
-1;-2.747mV
-1;-1.221mV
-1;-1.831mV
-1;-2.441mV
-1;0.000V
-1;-2.747mV
-1;-2.441mV
-1;-3.662mV
-1;-3.052mV
-1;-4.272mV
-1;-1.831mV
-1;-4.578mV
-1;-4.578mV
-1;-2.136mV
-1;-1.526mV
-1;-3.662mV
-1;-3.357mV
-1;-2.441mV
-1;-3.967mV
-1;-2.441mV
-1;-3.662mV
-1;-3.357mV
-1;-1.831mV
-1;-1.526mV
-1;-2.441mV
-1;-2.747mV
-1;-3.357mV
-1;-2.136mV
-1;-2.747mV
-1;0.000V
-1;-3.052mV
-1;-2.747mV
-1;0.000V
-1;-2.136mV
-1;-915.5uV
-1;-3.357mV
-1;-2.441mV
-1;-3.052mV
-1;-4.578mV
-1;-3.357mV
-1;-4.272mV
-1;-2.136mV
-1;-3.052mV
-1;-2.441mV
-1;-1.526mV
-1;-1.831mV
-1;-2.747mV
-1;-3.662mV
-1;-3.052mV
-1;-1.831mV
-1;-1.526mV
-1;-2.441mV
-1;-3.052mV
-1;-2.136mV
-1;-3.357mV
-1;-915.5uV
-1;-305.2uV
-1;-3.967mV
-1;-2.441mV
-1;-1.831mV
-1;-3.052mV
-1;-4.272mV
-1;-2.747mV
-1;-2.441mV
-1;-4.883mV
-1;-2.441mV
-1;-3.967mV
-1;-5.798mV
-1;-4.272mV
-1;-4.578mV
-1;-5.188mV
-1;-6.409mV
-1;-2.747mV
-1;-5.798mV
-1;-5.493mV
-1;-3.357mV
-1;-3.967mV
-1;-2.136mV
-1;-4.883mV
-1;-4.578mV
-1;-5.188mV
-1;-5.493mV
-1;-4.272mV
-1;-3.052mV
-1;-5.798mV
0;-5.798mV
0;-6.409mV
0;-5.188mV
0;-4.578mV
0;-5.493mV
0;-3.357mV
0;-5.493mV
0;-6.104mV
0;-6.104mV
0;-6.409mV
0;-5.188mV
0;-6.409mV
0;-5.493mV
0;-2.747mV
0;-6.409mV
0;-5.798mV
0;-3.662mV
0;-4.883mV
0;-6.714mV
0;-4.578mV
0;-5.493mV
0;-6.104mV
0;-6.714mV
0;-6.104mV
0;-7.324mV
0;-7.019mV
0;-7.324mV
0;-5.188mV
0;-5.493mV
0;-5.493mV
0;-5.493mV
0;-7.019mV
0;-6.104mV
0;-4.883mV
0;-5.188mV
0;-5.188mV
0;-5.493mV
0;-7.019mV
0;-5.798mV
0;-5.493mV
0;-4.883mV
0;-6.104mV
0;-7.629mV
0;-7.019mV
0;-7.629mV
0;-7.324mV
0;-8.545mV
0;-7.629mV
0;-6.714mV
0;-5.188mV
0;-5.493mV
0;-5.188mV
0;-5.798mV
0;-6.409mV
0;-3.967mV
0;-6.104mV
0;-6.409mV
0;-4.272mV
0;-4.883mV
0;-2.747mV
0;-3.662mV
0;-4.272mV
0;-5.188mV
0;-4.883mV
0;-3.662mV
0;-3.357mV
0;-4.578mV
0;-5.493mV
0;-1.526mV
0;-3.967mV
0;-915.5uV
0;-1.831mV
0;-4.272mV
0;-2.136mV
0;-2.136mV
0;-3.052mV
0;-915.5uV
0;-1.831mV
0;-610.4uV
0;-1.831mV
0;-2.441mV
0;-915.5uV
0;-915.5uV
1;610.4uV
1;915.5uV
1;610.4uV
1;1.526mV
1;3.357mV
1;4.883mV
1;2.747mV
1;3.967mV
1;5.493mV
1;6.104mV
1;5.798mV
1;5.493mV
1;4.272mV
1;7.629mV
1;6.409mV
1;8.240mV
1;7.935mV
1;8.545mV
1;9.460mV
1;12.21mV
1;12.21mV
1;12.51mV
1;11.60mV
1;14.95mV
1;16.78mV
1;16.48mV
1;18.31mV
1;18.31mV
1;19.53mV
1;22.28mV
1;22.58mV
1;24.72mV
1;26.25mV
1;28.08mV
1;27.47mV
1;30.21mV
